organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date
kde, yocto-meta-kf5, https://github.com/KDE/yocto-meta-kf5.git,7,297,10, NASL,62.1, false,2014-07-11,2022-05-15
kde, kgraphviewer, https://github.com/KDE/kgraphviewer.git,19,775,34, C++,97.3, false,2007-12-29,2022-05-08
kde, kwayland-server, https://github.com/KDE/kwayland-server.git,10,1480,59, C++,96.5, false,2014-12-15,2022-05-05
kde, mauikit-accounts, https://github.com/KDE/mauikit-accounts.git,1,19,2, C++,55.2, false,2021-05-22,2022-03-28
kde, mauikit-texteditor, https://github.com/KDE/mauikit-texteditor.git,1,43,2, C++,65.6, false,2021-04-16,2022-03-28
kde, mauikit-imagetools, https://github.com/KDE/mauikit-imagetools.git,0,50,3, C++,66.7, false,2021-04-15,2022-05-16
kde, mauikit-filebrowsing, https://github.com/KDE/mauikit-filebrowsing.git,0,176,2, C++,70.2, false,2021-04-15,2022-05-16
kde, maui-communicator, https://github.com/KDE/maui-communicator.git,1,206,2, C++,48.3, false,2019-12-28,2022-05-16
kde, maui-station, https://github.com/KDE/maui-station.git,6,160,3, QML,54.1, false,2018-12-08,2022-05-15
kde, buho, https://github.com/KDE/buho.git,4,423,7, C++,50.4, false,2018-12-08,2022-05-13
kde, nota, https://github.com/KDE/nota.git,3,423,7, QML,84.1, false,2018-12-24,2022-05-15
kde, akregator, https://github.com/KDE/akregator.git,28,6409,107, C++,96.2, false,2004-12-30,2022-05-16
kde, krfb, https://github.com/KDE/krfb.git,17,1490,71, C++,90.5, false,2001-12-22,2022-05-15
kde, ki18n, https://github.com/KDE/ki18n.git,8,554,57, C++,98.1, false,2013-12-31,2022-05-16
kde, knotes, https://github.com/KDE/knotes.git,18,3653,87, C++,93.2, false,1997-12-28,2022-05-16
kde, akonadi-search, https://github.com/KDE/akonadi-search.git,5,1224,28, C++,92.9, false,2013-12-29,2022-05-16
kde, krusader, https://github.com/KDE/krusader.git,96,6400,43, C++,96.6, false,2002-12-28,2022-05-16
kde, libksieve, https://github.com/KDE/libksieve.git,5,1698,24, C++,96.1, false,2015-12-30,2022-05-16
kde, kpimtextedit, https://github.com/KDE/kpimtextedit.git,6,1593,32, C++,97, false,2008-12-09,2022-05-16
kde, korganizer, https://github.com/KDE/korganizer.git,26,11696,115, C++,95.8, false,1998-12-21,2022-05-16
kde, grantleetheme, https://github.com/KDE/grantleetheme.git,4,396,13, C++,86.9, false,2015-12-30,2022-05-16
kde, kdiagram, https://github.com/KDE/kdiagram.git,14,349,18, C++,98.6, false,2014-11-27,2022-05-16
